,Gender2,Gender3,CountC,CountV,Start,End,start_letter,end_letter,plu_pattern,aug_vowel,source,derived_cat,semantic_cat,human,animate,semantic,sexgen
33,Masculine,Masculine,4,1,1,1,s,ʁ,No Plural,A,Native,Action Nouns,,N,N,Spatial Relations,
34,Masculine,Masculine,3,1,1,0,k,u,No Plural,A,Native,Action Nouns,,N,N,Sense Perception,
35,Masculine,Masculine,3,2,1,0,ʃ,u,No Plural,A,Native,Action Nouns,,N,N,Sense Perception,
36,Masculine,Masculine,3,1,1,1,m,j,No Plural,A,Native,Action Nouns,,N,N,Sense Perception,
37,Feminine,Feminine,3,2,1,0,m,i,No Plural,A,Native,Result of Verbal Action - WIP,,N,N,Spatial Relations,
38,Masculine,Masculine,3,1,1,1,d,w,External,A,Native,Action Nouns,,N,N,Food & Drink,
39,Feminine,Feminine,3,1,1,1,z,j,No Plural,A,Native,Action Nouns,,N,N,Spatial Relations,
40,Masculine,Masculine,3,1,1,1,s,l,External,A,Native,Action Nouns,,N,N,Spatial Relations,
41,Masculine,Masculine,5,1,1,1,ʃ,ʃ,Mixed,A,Native,Action Nouns,,N,N,Motion & Transportation,
42,Masculine,Masculine,2,2,1,0,s,i,No Plural,A,Native,Action Nouns,,N,N,Motion & Transportation,
43,Masculine,Masculine,3,1,1,1,s,s,No Plural,A,Native,Action Nouns,,N,N,Spatial Relations,
44,Masculine,Masculine,3,1,1,1,s,l,No Plural,A,Native,Action Nouns,,N,N,Spatial Relations,
45,Masculine,Masculine,4,2,1,0,m,u,Mixed,A,Native,Action Nouns,,N,N,Physical Acts & Materials,
46,Masculine,Masculine,5,1,1,1,s,r,External,A,Native,Action Nouns,5-UNIT,N,N,Spatial Relations,
47,Masculine,Masculine,4,1,1,1,k,j,No Plural,A,Native,Action Nouns,,N,N,Mind & Thought,
48,Masculine,Masculine,4,1,1,1,ʒ,l,Internal,A,Native,Action Nouns,,N,N,Spatial Relations,
49,Masculine,Masculine,2,1,1,1,s,d,Mixed,A,Native,Action Nouns,5-DIM,N,N,Body Parts & Functions,
50,Masculine,Masculine,3,1,1,1,s,m,External,A,Native,Action Nouns,,N,N,Physical Acts & Materials,
51,Feminine,Feminine,2,2,1,0,d,i,No Plural,A,Native,Action Nouns,,N,N,Spatial Relations,
52,Feminine,Feminine,5,1,1,1,m,r,No Plural,A,Native,Action Nouns,,N,N,Physical Acts & Materials,
53,Masculine,Masculine,4,1,1,1,n,s,No Plural,A,Native,Action Nouns,,N,N,Physical Acts & Materials,
54,Masculine,Masculine,3,1,1,1,z,m,No Plural,A,Native,Action Nouns,,N,N,Mind & Thought,
55,Masculine,Masculine,6,1,1,1,s,m,No Plural,A,Native,Action Nouns,,N,N,Physical Acts & Materials,
56,Masculine,Masculine,5,1,1,1,s,s,No Plural,A,Native,Action Nouns,,N,N,Spatial Relations,
57,Masculine,Masculine,4,1,1,1,s,l,No Plural,A,Native,Action Nouns,,N,N,Emotion,
58,Masculine,Masculine,4,1,1,0,m,i,Internal,A,Arabic-Assimilated,Underived,5-POLY,Y,Y,Warfare & Hunting,NonSpec
59,Masculine,Masculine,4,1,1,1,l,ʕ,External,A,Native,Underived,,N,Y,Animals,NonSpec
60,Masculine,Neutral,3,1,1,1,ʕ,n,External,A,Arabic-Assimilated,Action Nouns,,Y,Y,Possession & Trade,NonSpec
61,Masculine,Masculine,4,1,1,1,s,m,No Plural,A,Native,Agentives,,N,N,Sense Perception,
62,Masculine,Masculine,3,0,1,1,n,l,No Plural,A,Native,Instrumental Nouns,,N,N,Physical Acts & Materials,
63,Masculine,Masculine,4,1,1,1,m,z,No Plural,A,Native,Underived,,N,N,Physical Acts & Materials,
64,Masculine,Masculine,3,1,1,1,n,z,No Plural,A,Native,Instrumental Nouns,,N,N,Physical Acts & Materials,
65,Masculine,Masculine,4,1,1,1,s,s,Internal,A,Native,Instrumental Nouns,5-DIM,N,N,Physical Acts & Materials,
66,Masculine,Masculine,3,1,1,1,f,s,No Plural,A,Native,Action Nouns,,N,N,Physical Acts & Materials,
67,Masculine,Masculine,3,1,1,1,n,r,External,A,Native,Underived,,N,N,Physical World,
68,Masculine,Masculine,4,2,1,1,l,d,External,A,Arabic-Assimilated,Underived,5-DIM,N,N,Physical Acts & Materials,
69,Masculine,Neutral,4,1,1,1,l,d,Internal,A,Native,Underived,,N,Y,Animals,NonSpec
70,Masculine,Neutral,3,1,1,1,ħ,b,External,A,Arabic-Assimilated,Underived,,Y,Y,Social Relations,NonSpec
71,Masculine,Masculine,3,2,1,0,h,i,External,A,Arabic-Assimilated,Agentives,5-POLY,Y,Y,Language & Music,NonSpec
72,Masculine,Neutral,6,1,1,1,m,l,Internal,A,Native,Agentives,,Y,Y,Social Relations,NonSpec
73,Feminine,Feminine,4,1,1,1,l,ʁ,External,A,Arabic-Assimilated,Underived,1-AUG,N,N,Body Parts & Functions,
74,Feminine,Feminine,4,1,1,1,r,m,External,A,Native,Underived,,N,N,Language & Music,
75,Masculine,Neutral,3,1,1,1,q,m,External,A,Arabic-Assimilated,Underived,,Y,Y,Time,NonSpec
76,Masculine,Neutral,4,1,1,1,ʁ,l,Internal,A,Native,Underived,,N,Y,Animals,NonSpec
77,Masculine,Masculine,4,1,1,1,χ,l,External,A,Native,Underived,5-DIM,N,N,Clothing & Adornment,
78,Masculine,Masculine,4,1,1,1,s,s,External,A,Native,Underived,,N,N,Time,
79,Masculine,Masculine,4,1,1,1,s,r,No Plural,A,Native,Action Nouns,,N,N,Language & Music,
80,Masculine,Neutral,4,1,1,1,m,d,Internal,A,Native,Agentives,,N,Y,Animals,NonSpec
81,Feminine,Feminine,3,1,1,0,d,a,No Plural,A,Native,Underived,,N,N,Time,
82,Masculine,Masculine,3,2,1,1,q,d,External,A,Native,Underived,,N,N,Possession & Trade,
83,Masculine,Masculine,4,1,1,1,l,m,No Plural,A,Native,Action Nouns,,N,N,Motion & Transportation,
84,Masculine,Masculine,4,1,1,0,s,i,No Plural,A,Native,Action Nouns,,N,N,Motion & Transportation,
85,Masculine,Masculine,3,1,1,1,z,g,No Plural,A,Native,Action Nouns,,N,N,Social Relations,
86,Masculine,Neutral,3,1,1,1,s,s,Internal,A,Native,Underived,,N,Y,Animals,NonSpec
87,Masculine,Neutral,5,0,1,1,m,k,External,A,Arabic-Assimilated,Agentives,,Y,Y,Social Relations,NonSpec
88,Masculine,Neutral,3,1,1,1,ʃ,k,External,A,Arabic-Assimilated,Agentives,,Y,Y,Social Relations,NonSpec
89,Masculine,Neutral,4,1,1,1,n,f,Internal,A,Native,Agentives,,N,Y,Physical Acts & Materials,NonSpec
90,Masculine,Neutral,5,2,1,0,n,u,Internal,A,Arabic-Assimilated,Agentives,,Y,Y,Body Parts & Functions,NonSpec
91,Masculine,Neutral,3,2,1,1,z,l,External,A,Native,Agentives,,Y,Y,Body Parts & Functions,NonSpec
92,Masculine,Masculine,3,0,1,1,s,s,Internal,A,Native,Underived,5-DIM,N,N,Agriculture & Vegetation,
93,Feminine,Feminine,5,0,1,1,l,r,External,A,Arabic-Assimilated,Underived,,N,N,Religion & Beliefs,
94,Masculine,Masculine,4,2,1,1,ʃ,r,Internal,A,Native,Underived,5-POLY,Y,Y,Possession & Trade,NonSpec
95,Masculine,Neutral,3,2,1,1,b,d,External,A,Native,Agentives,,Y,Y,Body Parts & Functions,NonSpec
96,Masculine,Masculine,3,1,1,1,d,j,No Plural,A,Native,Action Nouns,,N,N,Body Parts & Functions,
97,Masculine,Masculine,2,2,1,0,d,u,Internal,A,Native,Underived,5-DIM,N,N,Clothing & Adornment,
98,Masculine,Masculine,4,1,1,1,ʒ,l,Internal,A,Native,Instrumental Nouns,5-DIM,N,N,Dwellings & Furniture,
99,Feminine,Feminine,2,1,1,1,k,r,External,A,Arabic-Assimilated,Underived,1-AUG,N,N,Physical Acts & Materials,
100,Masculine,Masculine,4,1,1,1,ʃ,d,No Plural,A,Arabic-Assimilated,Underived,,N,N,Clothing & Adornment,
101,Masculine,Masculine,2,1,1,0,g,a,Mixed,A,Native,Underived,5-DIM,N,N,Physical Acts & Materials,
102,Masculine,Neutral,3,1,1,1,ʃ,d,Internal,A,Native,Underived,,N,Y,Animals,NonSpec
103,Masculine,Neutral,4,1,1,1,b,ʃ,External,A,Native,Agentives,,N,Y,Social Relations,NonSpec
104,Masculine,Neutral,4,1,1,1,k,d,External,A,Native,Agentives,,N,Y,Social Relations,NonSpec
105,Masculine,Masculine,4,2,1,0,ʁ,u,Internal,A,Native,Underived,5-DIM,N,N,Motion & Transportation,
106,Masculine,Masculine,3,2,1,0,b,u,Internal,A,French,Underived,5-DIM,N,N,Motion & Transportation,
107,Masculine,Masculine,4,1,1,1,z,r,No Plural,A,Native,Underived,,N,N,Spatial Relations,
108,Masculine,Masculine,3,2,1,0,b,a,Mixed,A,Native,Underived,5-DIM,N,N,Clothing & Adornment,
109,Masculine,Masculine,3,2,1,0,b,a,Mixed,A,Native,Underived,5-DIM,N,N,Clothing & Adornment,
110,Masculine,Masculine,4,1,1,1,f,l,External,A,Native,Underived,5-DIM,N,N,Clothing & Adornment,
111,Masculine,Masculine,4,1,1,1,ħ,s,Internal,A,Native,Underived,5-DIM,N,N,Motion & Transportation,
112,Masculine,Neutral,4,1,1,1,ħ,m,External,A,Arabic-Assimilated,Underived,,Y,Y,Social Relations,NonSpec
113,Masculine,Masculine,3,2,1,1,k,j,External,A,Native,Underived,5-DIM,N,N,Physical Acts & Materials,
114,Feminine,Feminine,4,1,1,1,χ,t,External,A,Native,Underived,1-AUG,N,N,Physical Acts & Materials,
115,Masculine,Masculine,3,1,1,1,s,f,External,A,Native,Instrumental Nouns,,N,N,Body Parts & Functions,
116,Masculine,Neutral,4,1,1,1,b,q,External,A,Native,Agentives,,Y,Y,Social Relations,NonSpec
117,Masculine,Masculine,4,1,1,1,l,j,External,A,Native,Underived,,N,N,Physical World,
118,Masculine,Masculine,4,1,1,1,m,r,External,A,Native,Underived,,N,N,Physical World,
119,Masculine,Neutral,4,2,1,1,f,j,External,A,Native,Agentives,,Y,Y,Emotion,NonSpec
120,Masculine,Neutral,3,1,1,1,r,b,External,A,Native,Underived,,Y,Y,Mankind,NonSpec
121,Masculine,Masculine,3,2,1,0,f,i,No Plural,A,Native,Action Nouns,,N,N,Emotion,
122,Masculine,Masculine,4,1,1,1,ʁ,r,Internal,A,Native,Underived,5-DIM,N,N,Body Parts & Functions,
123,Masculine,Neutral,4,1,1,1,f,d,External,A,Native,Underived,,N,Y,Body Parts & Functions,NonSpec
124,Masculine,Masculine,4,2,1,1,q,m,External,A,Native,Underived,5-DIM,N,N,Physical Acts & Materials,
125,Masculine,Neutral,4,1,1,1,g,z,External,A,Native,Underived,,Y,Y,Language & Music,NonSpec
126,Masculine,Neutral,4,1,1,1,t,m,External,A,Native,Underived,,Y,Y,Language & Music,NonSpec
127,Masculine,Neutral,4,1,1,1,t,f,External,A,Native,Underived,,Y,Y,Mind & Thought,NonSpec
128,Masculine,Masculine,2,2,1,0,ħ,i,External,A,Arabic-Assimilated,Underived,,N,Y,Animals,Male
129,Masculine,Neutral,3,1,1,0,m,i,Mixed,A,Arabic-Assimilated,Agentives,,Y,Y,Religion & Beliefs,NonSpec
130,Masculine,Neutral,4,2,1,0,m,i,Mixed,A,Arabic-Assimilated,Agentives,,Y,Y,Religion & Beliefs,NonSpec
131,Masculine,Masculine,4,2,1,0,n,u,No Plural,A,Native,Action Nouns,,N,N,Motion & Transportation,
132,Masculine,Masculine,3,2,1,0,d,u,No Plural,A,Native,Action Nouns,,N,N,Motion & Transportation,
133,Masculine,Neutral,3,1,1,0,m,a,Mixed,A,Native,Agentives,,Y,Y,Animals,NonSpec
134,Masculine,Masculine,3,2,1,1,b,n,Internal,A,French,Underived,5-DIM,N,N,Food & Drink,
135,Masculine,Masculine,3,0,1,1,b,g,Mixed,A,Native,Underived,,N,N,Clothing & Adornment,
136,Masculine,Masculine,4,0,1,1,s,l,Internal,A,Native,Underived,5-DIM,N,N,Food & Drink,
137,Masculine,Masculine,3,1,1,0,z,u,No Plural,A,Native,Underived,,N,N,Agriculture & Vegetation,
138,Masculine,Neutral,3,2,1,1,m,s,Internal,A,Native,Agentives,,Y,Y,Body Parts & Functions,NonSpec
139,Masculine,Masculine,3,1,1,1,m,z,External,A,Native,Action Nouns,,N,N,Body Parts & Functions,
140,Masculine,Neutral,4,1,1,1,ʃ,n,External,A,Arabic-Assimilated,Agentives,,Y,Y,Sense Perception,NonSpec
141,Masculine,Masculine,3,0,1,1,z,r,Mixed,A,Native,Underived,,N,N,Food & Drink,
142,Feminine,Feminine,3,2,1,1,f,s,External,A,Native,Underived,1-AUG,N,N,Food & Drink,
143,Masculine,Masculine,4,1,1,0,s,u,Mixed,A,Native,Action Nouns,,N,N,Dwellings & Furniture,
144,Masculine,Neutral,3,2,1,1,b,r,External,A,Native,Agentives,,Y,Y,Body Parts & Functions,NonSpec
145,Masculine,Neutral,4,2,1,0,m,u,Internal,A,Native,Agentives,,Y,Y,Body Parts & Functions,NonSpec
146,Masculine,Neutral,4,1,1,1,n,r,Mixed,A,Native,Underived,,N,Y,Animals,NonSpec
147,Masculine,Neutral,3,2,1,1,b,r,External,A,Native,Underived,,N,Y,Animals,NonSpec
148,Masculine,Masculine,4,1,1,1,g,r,External,A,Arabic-Assimilated,Underived,5-POLY,Y,Y,Possession & Trade,NonSpec
149,Feminine,Feminine,4,2,1,1,s,n,Internal,A,Native,Instrumental Nouns,1-AUG,N,N,Physical Acts & Materials,
150,Masculine,Masculine,4,2,1,0,χ,i,No Plural,A,Native,Action Nouns,,N,N,Emotion,
151,Masculine,Masculine,3,1,1,1,b,z,Mixed,A,Native,Underived,,N,N,Physical World,
152,Masculine,Masculine,3,2,1,0,f,u,Mixed,A,Native,Action Nouns,,N,N,Physical World,
153,Feminine,Feminine,4,1,1,1,ʕ,d,Internal,A,Native,Underived,1-AUG,N,N,Physical Acts & Materials,
154,Masculine,Neutral,4,1,1,1,b,r,External,A,Native,Underived,,Y,Y,Animals,NonSpec
155,Masculine,Neutral,3,2,1,1,m,j,External,A,Native,Underived,,N,Y,Animals,NonSpec
156,Masculine,Masculine,4,2,1,0,s,u,Mixed,A,Native,Action Nouns,,N,N,Emotion,
157,Masculine,Masculine,5,1,1,1,s,d,External,A,Native,Underived,5-DIM,N,N,Agriculture & Vegetation,
158,Masculine,Masculine,4,2,1,0,l,u,Internal,A,Arabic-Assimilated,Underived,5-DIM,N,N,Physical Acts & Materials,
159,Masculine,Masculine,4,1,1,1,q,ʕ,External,A,Arabic-Assimilated,Underived,5-POLY,Y,Y,Possession & Trade,NonSpec
160,Masculine,Neutral,4,1,1,1,m,g,Internal,A,Arabic-Assimilated,Agentives,,Y,Y,Body Parts & Functions,NonSpec
161,Masculine,Masculine,4,1,1,1,ħ,g,External,A,Arabic-Assimilated,Result of Verbal Action - WIP,,N,N,Body Parts & Functions,
162,Masculine,Masculine,4,1,1,1,ʃ,r,External,A,Native,Underived,,N,N,Agriculture & Vegetation,
163,Masculine,Masculine,4,1,1,1,s,m,External,A,Native,Underived,5-DIM,N,N,Clothing & Adornment,
164,Masculine,Masculine,3,1,1,1,χ,f,Mixed,A,Native,Underived,,N,N,Clothing & Adornment,
165,Masculine,Masculine,3,2,1,1,χ,s,Internal,A,Native,Underived,,N,N,Clothing & Adornment,
166,Masculine,Masculine,2,1,1,0,ħ,u,No Plural,A,Native,Action Nouns,,N,N,Spatial Relations,
167,Masculine,Masculine,6,1,1,1,g,r,Internal,A,Native,Underived,,N,N,Agriculture & Vegetation,
168,Masculine,Masculine,5,1,1,1,l,ʃ,External,A,Arabic-Assimilated,Underived,5-DIM,N,N,Language & Music,
169,Masculine,Masculine,4,1,1,1,ħ,d,External,A,Native,Underived,,N,N,Body Parts & Functions,
170,Masculine,Masculine,4,1,1,1,ħ,r,External,A,Native,Agentives,5-POLY,N,N,Language & Music,
171,Masculine,Masculine,4,2,1,0,ħ,i,External,A,Arabic-Assimilated,Abnakliy,5-POLY,Y,Y,Mind & Thought,NonSpec
172,Masculine,Masculine,4,1,1,1,ʕ,z,External,A,Arabic-Assimilated,Underived,5-DIM,N,N,Motion & Transportation,
173,Masculine,Masculine,4,1,1,1,q,n,Mixed,A,Native,Underived,5-DIM,N,N,Clothing & Adornment,
174,Masculine,Masculine,4,1,1,1,q,l,External,A,Native,Underived,5-DIM,N,N,Food & Drink,
175,Masculine,Masculine,4,1,1,1,q,l,External,A,Native,Underived,5-DIM,N,N,Language & Music,
176,Masculine,Masculine,5,1,1,1,ʒ,ʒ,External,A,Arabic-Assimilated,Underived,5-UNIT,N,N,Physical Acts & Materials,
177,Masculine,Masculine,4,1,1,1,m,r,Internal,A,Native,Underived,,N,N,Physical World,
178,Masculine,Masculine,4,1,1,1,m,g,External,A,Native,Agentives,,Y,Y,Physical Acts & Materials,NonSpec
179,Masculine,Masculine,4,1,1,1,m,j,External,A,Native,Action Nouns,5-POLY,Y,Y,Motion & Transportation,NonSpec
180,Masculine,Masculine,3,1,1,1,m,j,External,A,Native,Agentives,5-POLY,Y,Y,Motion & Transportation,NonSpec
181,Masculine,Neutral,4,1,1,1,m,d,Internal,A,Native,Agentives,,Y,Y,Body Parts & Functions,NonSpec
182,Masculine,Masculine,3,1,1,1,b,d,No Plural,A,Native,Action Nouns,,N,N,Body Parts & Functions,
183,Masculine,Neutral,3,1,1,0,ʕ,i,Internal,A,Native,Underived,,Y,Y,Mankind,NonSpec
184,Masculine,Neutral,4,1,1,1,b,r,External,A,Arabic-Assimilated,Agentives,,Y,Y,Language & Music,NonSpec
185,Masculine,Neutral,4,1,1,1,m,l,Internal,A,Native,Agentives,,Y,Y,Physical Acts & Materials,NonSpec
186,Masculine,Masculine,4,1,1,1,m,f,External,A,Native,Underived,5-DIM,N,N,Clothing & Adornment,
187,Masculine,Masculine,2,2,1,0,ħ,u,Internal,A,Native,Underived,5-DIM,N,N,Dwellings & Furniture,
188,Masculine,Neutral,3,0,1,1,r,m,Mixed,A,Native,Underived,,N,Y,Animals,NonSpec
189,Masculine,Neutral,4,1,1,1,r,k,External,A,Native,Underived,,Y,Y,Animals,NonSpec
190,Masculine,Masculine,4,0,1,1,g,l,Internal,A,Native,Underived,,N,N,Agriculture & Vegetation,
191,Masculine,Masculine,3,1,1,1,m,g,Internal,A,Native,Underived,,N,N,Language & Music,
192,Masculine,Neutral,3,2,1,1,m,r,External,A,Native,Agentives,,Y,Y,Language & Music,NonSpec
193,Masculine,Masculine,4,0,1,1,s,z,Internal,A,Native,Instrumental Nouns,5-DIM,N,N,Agriculture & Vegetation,
194,Masculine,Masculine,4,2,1,0,w,u,Internal,A,Native,Underived,5-DIM,N,N,Agriculture & Vegetation,
195,Feminine,Feminine,3,0,1,1,g,r,No Plural,A,Native,Action Nouns,,N,N,Warfare & Hunting,
196,Feminine,Feminine,4,0,1,1,n,r,No Plural,A,Native,Action Nouns,,N,N,Warfare & Hunting,
197,Masculine,Masculine,4,1,1,1,n,r,External,A,Native,Agentives,5-POLY,Y,Y,Warfare & Hunting,NonSpec
198,Masculine,Masculine,4,1,1,1,s,d,External,A,Arabic-Assimilated,Agentives,5-POLY,Y,Y,Warfare & Hunting,NonSpec
199,Masculine,Neutral,3,1,1,1,m,ʃ,Mixed,A,Native,Underived,,N,Y,Animals,NonSpec
200,Masculine,Neutral,4,1,1,1,m,j,Internal,A,Native,Agentives,,Y,Y,Body Parts & Functions,NonSpec
201,Masculine,Masculine,3,2,1,1,ʁ,s,External,A,Native,Underived,5-DIM,N,N,Motion & Transportation,
202,Masculine,Neutral,3,1,1,1,g,r,External,A,Native,Underived,,N,Y,Animals,NonSpec
203,Masculine,Masculine,3,2,1,1,k,r,External,A,Native,Underived,,N,Y,Animals,NonSpec
204,Masculine,Masculine,4,1,1,1,ʃ,d,External,A,Native,Underived,5-DIM,N,N,Physical Acts & Materials,
205,Masculine,Neutral,5,1,1,1,b,z,Internal,A,Native,Underived,,N,Y,Animals,NonSpec
206,Masculine,Neutral,3,1,1,0,ʃ,i,Mixed,A,Native,Underived,,Y,Y,Language & Music,NonSpec
207,Feminine,Feminine,3,2,1,0,ʁ,a,Mixed,A,Native,Underived,,N,N,Quantity & Number,
208,Masculine,Neutral,2,2,1,0,r,i,Mixed,A,Native,Underived,,Y,Y,Religion & Beliefs,NonSpec
209,Masculine,Masculine,3,1,1,1,s,j,No Plural,A,Native,Result of Verbal Action - WIP,,N,N,Body Parts & Functions,
210,Feminine,Feminine,4,1,1,1,g,j,No Plural,A,Native,Action Nouns,,N,N,Body Parts & Functions,
211,Masculine,Masculine,4,0,1,1,s,l,Internal,A,Native,Instrumental Nouns,,N,N,Religion & Beliefs,
212,Masculine,Neutral,3,2,1,0,χ,i,Mixed,A,Arabic-Assimilated,Underived,,N,Y,Quantity & Number,NonSpec
213,Masculine,Masculine,4,1,1,1,ħ,m,External,A,Native,Underived,5-POLY,Y,Y,Body Parts & Functions,NonSpec
214,Masculine,Masculine,4,1,1,1,m,r,External,A,Arabic-Assimilated,Underived,5-DIM,N,N,Physical Acts & Materials,
215,Masculine,Masculine,4,1,1,1,ʁ,r,Mixed,A,Native,Underived,5-DIM,N,N,Spatial Relations,
216,Masculine,Neutral,5,0,1,1,m,q,External,A,Arabic-Assimilated,Agentives,,Y,Y,Emotion,NonSpec
217,Masculine,Masculine,4,1,1,1,r,d,No Plural,A,Native,Underived,,N,N,Body Parts & Functions,
218,Masculine,Masculine,3,1,1,1,z,g,External,A,Native,Action Nouns,5-DIM,N,N,Clothing & Adornment,
219,Feminine,Feminine,3,2,1,0,m,a,Mixed,A,Native,Underived,,N,Y,Animals,NonSpec
220,Masculine,Masculine,3,2,1,1,ʃ,ʃ,Internal,A,Native,Underived,5-DIM,N,N,Dwellings & Furniture,
221,Masculine,Masculine,3,0,1,1,d,s,External,A,Native,Underived,,N,N,Body Parts & Functions,
222,Masculine,Masculine,3,1,1,0,b,u,No Plural,A,Arabic-Assimilated,Action Nouns,,N,N,Time,
223,Masculine,Masculine,3,2,1,1,m,l,External,A,Native,Underived,,N,N,Language & Music,
224,Masculine,Neutral,4,1,1,1,s,n,External,A,Native,Agentives,,Y,Y,Social Relations,NonSpec
225,Masculine,Neutral,3,1,1,1,s,n,External,A,Native,Agentives,,Y,Y,Social Relations,NonSpec
226,Masculine,Neutral,4,1,1,1,m,j,External,A,Native,Agentives,,Y,Y,Animals,NonSpec
227,Masculine,Masculine,3,1,1,1,g,j,No Plural,A,Native,Action Nouns,,N,N,Social Relations,
228,Masculine,Masculine,3,2,1,1,b,z,External,A,Arabic-Assimilated,Underived,,N,N,Social Relations,
229,Masculine,Masculine,3,2,1,1,s,ʁ,External,A,Native,Underived,5-DIM,N,Y,Animals,NonSpec
230,Masculine,Masculine,4,1,1,1,m,r,Mixed,A,Arabic-Assimilated,Action Nouns,5-UNIT,N,N,Social Relations,
231,Masculine,Neutral,4,2,1,0,s,i,External,A,Arabic-Assimilated,Agentives,,Y,Y,Religion & Beliefs,NonSpec
232,Masculine,Neutral,4,1,1,1,m,w,External,A,Native,Agentives,,Y,Y,Social Relations,NonSpec
233,Masculine,Masculine,3,1,1,1,s,m,External,A,Native,Action Nouns,,N,N,Physical Acts & Materials,
234,Masculine,Neutral,4,2,1,1,f,s,External,A,Native,Underived,,N,Y,Animals,NonSpec
235,Masculine,Masculine,4,2,1,1,g,r,External,A,Native,Underived,,N,Y,Animals,NonSpec
236,Masculine,Masculine,3,2,1,1,d,n,External,A,Native,Underived,,N,N,Language & Music,
237,Masculine,Masculine,4,1,1,1,g,s,Internal,A,Native,Underived,,N,N,Physical Acts & Materials,
238,Masculine,Masculine,4,1,1,1,ʁ,s,External,A,Native,Underived,5-DIM,N,N,Body Parts & Functions,
239,Masculine,Masculine,3,1,1,1,s,n,Internal,A,Native,Underived,5-DIM,N,N,Physical World,
