y_analysisGender2Category,y_analysisGender3Category,analysisHasSecondaryMorphYN,analysisMutability,m_analysisPluralPattern,m_analysisRAugVowel,analysisSemanticCoreYN,analysisSingularTheme,p_analysisThemeCV,p_analysisThemeFinalSegment,p_analysisThemeInitialSegment,s_lexiconAnimateYN,lexiconGlossEnglish,lexiconGlossFrench,s_lexiconHumanYN,m_lexiconLoanwordSource,s_lexiconSemanticField,s_lexiconSexGender,recordID,m_wordDerivedCategory,wordLexBitVector,m_wordNumSemanticCategory
Masculine,Masculine,Yes,Variable-Masc,External,A,N,msijjs,CCVCCC,s,m,Y,tamer,dompteur,Y,Native,Physical Acts & Materials,NonSpec,63,Agentives,1111-1111,5-POLY
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,!ʃbaru,CCVCV,u,ʃ,N,a kind of plant,,N,Native,Agriculture & Vegetation,,64,Underived,1111-1111,5-UNIT
Masculine,Neutral,,Neutral,External,A,Y,ħbari,CCVCV,i,ħ,Y,type of horse,type de cheval,N,Native,Animals,NonSpec,65,Underived,1111-1111,
Masculine,Neutral,,Neutral,Internal,A,Y,ndaru,CCVCV,u,n,Y,someone who shares a meal,qui partage le repas,Y,Native,Social Relations,NonSpec,66,Agentives,1111-1111,
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,satm,CVCC,m,s,N,niche,niche,N,Native,Physical World,,68,Underived,1111-1111,5-DIM
Masculine,Neutral,,Neutral,External,A,Y,!mazuz,CVCVC,z,m,Y,grown late in the agricultural year,cultivé tard dans l'année agricole,N,Native,Agriculture & Vegetation,NonSpec,70,Underived,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,gʷilal,CVCVC,l,g,Y,kind of horse with long mane (foal),à longue crinière (poulain),N,Native,Animals,NonSpec,78,Underived,1111-1111,
Feminine,Feminine,Yes,Variable-Fem,Internal,A,N,kʷndrris,CCCCCVC,s,k,N,"giblets, salted and dried","abattis, salés et séchés",N,Native,Food & Drink,,79,Underived,1111-1111,1-AUG
Masculine,Masculine,,Fixed-Masc,External,A,N,stara,CCVCV,a,s,N,"chords (music), musical preamble","accords (musique), préambule musical",N,Native,Language & Music,,83,Underived,1111-0000,
Feminine,Feminine,,Fixed-Fem,No Plural,A,N,msaʁ,CCVC,ʁ,m,N,purchase,achat,N,Native,Possession & Trade,,86,Action Nouns,0000-1100,
Masculine,Neutral,,Neutral,External,A,Y,msaʁ,CCVC,ʁ,m,Y,buyer,acheteur,Y,Native,Possession & Trade,NonSpec,88,Agentives,1111-1111,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,slum,CCVC,m,s,N,act of swallowing a powder,acte d'avaler une poudre,N,Native,Body Parts & Functions,,89,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,slaj,CCVC,j,s,N,act of grilling,acte de griller,N,Native,Food & Drink,,90,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,External,A,N,skkir,CCCVC,r,s,N,"act, attitude","acte, attitude",N,Native,Physical Acts & Materials,,91,Action Nouns,1111-0000,
Masculine,Neutral,,Neutral,External,A,Y,!mʕʃur,CCCVC,r,m,Y,actor carnival,acteur de carnaval,Y,Arabic-Assimilated,Language & Music,NonSpec,92,Agentives,1111-1111,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,ssndu,CCCCV,u,s,N,churning action,action de baratter (secouer l'outre),N,Native,Physical Acts & Materials,,94,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,!ħttu,CCCV,u,ħ,N,act of hiding,action de cacher,N,Native,Spatial Relations,,96,Action Nouns,1100-0000,
Feminine,Feminine,,Fixed-Fem,No Plural,A,N,guni,CVCV,i,g,N,"act of sleeping, sleep","action de dormir, se coucher",N,Native,Body Parts & Functions,,101,Action Nouns,0000-1100,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,sggiwr,CCCVCC,r,s,N,act of sitting,action d'asseoir,N,Native,Spatial Relations,,102,Action Nouns,1100-0000,
Feminine,Feminine,,Fixed-Fem,No Plural,A,N,sbaqqaj,CCVCCVC,j,s,N,"act of bursting, explosion","action de faire éclater, explosion",N,Native,Physical Acts & Materials,,103,Action Nouns,0000-1100,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,ssufʁ,CCVCC,ʁ,s,N,act of bringing out ,action de faire sortir,N,Native,Spatial Relations,,104,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,!kttu,CCCV,u,k,N,act of sniffing,action de flairer,N,Native,Sense Perception,,105,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,ʃubbu,CVCCV,u,ʃ,N,act of searching,action de fouiller,N,Native,Sense Perception,,106,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,!mdaj,CCVC,j,m,N,act of tasting,action de goûter,N,Native,Sense Perception,,109,Action Nouns,1100-0000,
Feminine,Feminine,,Fixed-Fem,No Plural,A,N,mʁuri,CCVCV,i,m,N,"act of growing, greatness","action de grandir, grandeur",N,Native,Spatial Relations,,110,Result of Verbal Action - WIP,0000-1100,
Masculine,Masculine,,Fixed-Masc,External,A,N,draw,CCVC,w,d,N,act of eating in community,action de manger en communauté,N,Native,Food & Drink,,111,Action Nouns,1111-0000,
Feminine,Feminine,,Fixed-Fem,No Plural,A,N,zdaj,CCVC,j,z,N,act of putting side by side,action de mettre côte à côte,N,Native,Spatial Relations,,112,Action Nouns,0000-1100,
Masculine,Masculine,,Fixed-Masc,External,A,N,smal,CCVC,l,s,N,act of showing,action de montrer,N,Native,Spatial Relations,,113,Action Nouns,1111-0000,
Masculine,Masculine,,Fixed-Masc,Mixed,A,N,ʃtibbʃ,CCVCCC,ʃ,ʃ,N,act of wading,action de patauger,N,Native,Motion & Transportation,,115,Action Nouns,1111-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,sali,CVCV,i,s,N,act of carrying over the shoulder,action de porter en bandoulière,N,Native,Motion & Transportation,,118,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,srus,CCVC,s,s,N,act of placing,action de poser,N,Native,Spatial Relations,,119,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,sdal,CCVC,l,s,N,act of covering,action de recouvrir,N,Native,Spatial Relations,,120,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,Mixed,A,N,mmussu,CCVCCV,u,m,N,act of stirring,action de remuer,N,Native,Physical Acts & Materials,,121,Action Nouns,1111-0000,
Masculine,Masculine,Yes,Variable-Masc,External,A,N,skubbr,CCVCCC,r,s,N,act of squatting,action de s'accroupir,N,Native,Spatial Relations,,123,Action Nouns,1111-1111,5-UNIT
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,kʷttaj,CCCVC,j,k,N,act of remembering,action de se souvenir,N,Native,Mind & Thought,,128,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,Internal,A,N,ʒgugl,CCVCC,l,ʒ,N,act of suspending ...,action de se suspendre à...,N,Native,Spatial Relations,,129,Action Nouns,1111-0000,
Masculine,Masculine,Yes,Variable-Masc,Mixed,A,N,!sud,CVC,d,s,N,"action of blowing (pejorative), anus (by metonymy)","action de souffler (péj.), anus (par métonymie)",N,Native,Body Parts & Functions,,130,Action Nouns,1111-1111,5-DIM
Masculine,Masculine,,Fixed-Masc,External,A,N,sram,CCVC,m,s,N,act of sharpening,action de tailler,N,Native,Physical Acts & Materials,,131,Action Nouns,1111-0000,
Feminine,Feminine,,Fixed-Fem,No Plural,A,N,!duri,CVCV,i,d,N,act of falling,action de tomber,N,Native,Spatial Relations,,132,Action Nouns,0000-1100,
Feminine,Feminine,,Fixed-Fem,No Plural,A,N,!mʒikrr,CCVCCC,r,m,N,act of dragging,action de trainer,N,Native,Physical Acts & Materials,,133,Action Nouns,0000-1100,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,nggas,CCCVC,s,n,N,act of goring,"action d'encorner, coup de tête",N,Native,Physical Acts & Materials,,135,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,zlam,CCVC,m,z,N,act of foreseeing,action d'entrevoir,N,Native,Mind & Thought,,136,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,!sgruʒʒm,CCCVCCC,m,s,N,unfinished action,"action inachevée, suspens",N,Native,Physical Acts & Materials,,137,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,skkujs,CCCVCC,s,s,N,way of sitting,"action, manière de s'asseoir",N,Native,Spatial Relations,,138,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,snufl,CCVCC,l,s,N,panic,affolement (sens propre),N,Native,Emotion,,139,Action Nouns,1100-0000,
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,mχzni,CCCCV,i,m,Y,enforcement officer (mokhazni),agent de l'autorité (mokhazni),Y,Arabic-Assimilated,Warfare & Hunting,NonSpec,140,Underived,1111-1111,5-POLY
Masculine,Masculine,,Fixed-Masc,External,A,N,lqqaʕ,CCCVC,ʕ,l,Y,lamb,agneau,N,Native,Animals,NonSpec,142,Underived,1111-0000,
Masculine,Neutral,,Neutral,External,A,Y,ʕwin,CCVC,n,ʕ,Y,aid,aide,Y,Arabic-Assimilated,Possession & Trade,NonSpec,143,Action Nouns,1111-1111,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,smmum,CCCVC,m,s,N,sour,aigre,N,Native,Sense Perception,,148,Agentives,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,nzl,CCC,l,n,N,sting,aiguillon,N,Native,Physical Acts & Materials,,151,Instrumental Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,mhmaz,CCCVC,z,m,N,sting,aiguillon,N,Native,Physical Acts & Materials,,152,Underived,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,nʁuz,CCVC,z,n,N,sting,aiguillon,N,Native,Physical Acts & Materials,,153,Instrumental Nouns,1100-0000,
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,saqqʷs,CVCCC,s,s,N,sting,"aiguillon, dard",N,Native,Physical Acts & Materials,,154,Instrumental Nouns,1111-1111,5-DIM
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,fras,CCVC,s,f,N,sharpening,aiguisage,N,Native,Physical Acts & Materials,,156,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,External,A,N,nrar,CCVC,r,n,N,area,aire,N,Native,Physical World,,162,Underived,1111-0000,
Masculine,Masculine,Yes,Variable-Masc,External,A,N,luqqid,CVCCVC,d,l,N,match,allumette,N,Arabic-Assimilated,Physical Acts & Materials,,165,Underived,1111-1111,5-DIM
Masculine,Neutral,,Neutral,Internal,A,Y,!lʕjud,CCCVC,d,l,Y,lark,alouette,N,Native,Animals,NonSpec,166,Underived,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,ħbib,CCVC,b,ħ,Y,lover,amant,Y,Arabic-Assimilated,Social Relations,NonSpec,170,Underived,1111-1111,
Masculine,Masculine,Yes,Variable-Masc,External,A,N,hwawi,CCVCV,i,h,Y,lover of music and singing,amateur de musique et de chant,Y,Arabic-Assimilated,Language & Music,NonSpec,171,Agentives,1111-1111,5-POLY
Masculine,Neutral,,Neutral,Internal,A,Y,mddakkʷl,CCCVCCC,l,m,Y,friend,ami,Y,Native,Social Relations,NonSpec,173,Agentives,1111-1111,
Feminine,Feminine,Yes,Variable-Fem,External,A,N,lbbiʁ,CCCVC,ʁ,l,N,bulb (skin irritant),ampoule (iritation de la peau),N,Arabic-Assimilated,Body Parts & Functions,,177,Underived,1111-1111,1-AUG
Feminine,Feminine,,Fixed-Fem,External,A,N,rggim,CCCVC,m,r,N,"curse, insult","anathème, insulte",N,Native,Language & Music,,179,Underived,0000-1111,
Masculine,Neutral,,Neutral,External,A,Y,qdim,CCVC,m,q,Y,old,ancien,Y,Arabic-Assimilated,Time,NonSpec,180,Underived,1111-1111,
Masculine,Neutral,,Neutral,Internal,A,Y,ʁjjul,CCCVC,l,ʁ,Y,donkey,âne,N,Native,Animals,NonSpec,182,Underived,1111-1111,
Masculine,Masculine,Yes,Variable-Masc,External,A,N,χlχal,CCCVC,l,χ,N,ring,anneau,N,Native,Clothing & Adornment,,184,Underived,1111-1111,5-DIM
Masculine,Masculine,,Fixed-Masc,External,A,N,sggʷas,CCCVC,s,s,N,year,année,N,Native,Time,,185,Underived,1111-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,sadmr,CVCCC,r,s,N,call,appel,N,Native,Language & Music,,190,Action Nouns,1100-0000,
Masculine,Neutral,,Neutral,Internal,A,Y,mgrud,CCCVC,d,m,Y,"tamed, domesticated",apprivoisé,N,Native,Animals,NonSpec,192,Agentives,1111-1111,
Feminine,Feminine,,Fixed-Fem,No Plural,A,N,dggʷa,CCCV,a,d,N,afternoon,après-midi,N,Native,Time,,195,Underived,0000-1100,
Masculine,Masculine,,Fixed-Masc,External,A,N,qarid,CVCVC,d,q,N,money,argent,N,Native,Possession & Trade,,198,Underived,1111-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,lkkum,CCCVC,m,l,N,arrival,arrivée,N,Native,Motion & Transportation,,201,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,ssʁʷli,CCCCV,i,s,N,ascension,ascension,N,Native,Motion & Transportation,,204,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,zwag,CCVC,g,z,N,"asylum, exile","asile, exil",N,Native,Social Relations,,205,Action Nouns,1100-0000,
Masculine,Neutral,,Neutral,Internal,A,Y,snus,CCVC,s,s,Y,non-adult donkey,ânon,N,Native,Animals,NonSpec,206,Underived,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,mʃʃrk,CCCCC,k,m,Y,partner,associé,Y,Arabic-Assimilated,Social Relations,NonSpec,209,Agentives,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,ʃrik,CCVC,k,ʃ,Y,partner,associé,Y,Arabic-Assimilated,Social Relations,NonSpec,210,Agentives,1111-1111,
Masculine,Neutral,,Neutral,Internal,A,Y,nkruf,CCCVC,f,n,Y,"attached, hampered","attaché, entravé",N,Native,Physical Acts & Materials,NonSpec,211,Agentives,1111-1111,
Masculine,Neutral,,Neutral,Internal,A,Y,!nbbarsu,CCCVCCV,u,n,Y,person suffering from depigmentation of the skin (vitiligo),atteint de vitiligo,Y,Arabic-Assimilated,Body Parts & Functions,NonSpec,213,Agentives,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,ziwal,CVCVC,l,z,Y,person suffering from strabismus,atteint de strabisme,Y,Native,Body Parts & Functions,NonSpec,214,Agentives,1111-1111,
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,sds,CCC,s,s,N,trough,auge,N,Native,Agriculture & Vegetation,,215,Underived,1111-1111,5-DIM
Feminine,Feminine,,Fixed-Fem,External,A,N,!lfttr,CCCCC,r,l,N,alms given at Eid al-Fitr (Festival of sweets),aumône donnée à l'Aïd al fitr,N,Arabic-Assimilated,Religion & Beliefs,,216,Underived,0000-1111,
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,!ʃʃaħur,CCVCVC,r,ʃ,Y,miser,avare,Y,Native,Possession & Trade,NonSpec,219,Underived,1111-1111,5-POLY
Masculine,Neutral,,Neutral,External,A,Y,!bukad,CVCVC,d,b,Y,blind person,aveugle,Y,Native,Body Parts & Functions,NonSpec,220,Agentives,1111-1111,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,draj,CCVC,j,d,N,abortion,avortement,N,Native,Body Parts & Functions,,229,Action Nouns,1100-0000,
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,duku,CVCV,u,d,N,slipper,babouche,N,Native,Clothing & Adornment,,231,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,ʒgugl,CCVCC,l,ʒ,N,"swing, hammock, cradle","balançoire, hamac, berceau",N,Native,Dwellings & Furniture,,235,Instrumental Nouns,1111-1111,5-DIM
Feminine,Feminine,Yes,Variable-Fem,External,A,N,kur,CVC,r,k,N,ball,balle,N,Arabic-Assimilated,Physical Acts & Materials,,238,Underived,1111-1111,1-AUG
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,ʃddad,CCCVC,d,ʃ,N,headband,bandeau,N,Arabic-Assimilated,Clothing & Adornment,,241,Underived,1100-0000,
Masculine,Masculine,Yes,Variable-Masc,Mixed,A,N,gra,CCV,a,g,N,tub,baquet,N,Native,Physical Acts & Materials,,242,Underived,1111-1111,5-DIM
Masculine,Neutral,,Neutral,Internal,A,Y,!ʃnid,CCVC,d,ʃ,Y,hinny,bardot,N,Native,Animals,NonSpec,244,Underived,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,!brhuʃ,CCCVC,ʃ,b,Y,motley,bariolé,N,Native,Social Relations,NonSpec,245,Agentives,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,!krkad,CCCVC,d,k,Y,motley,bariolé,N,Native,Social Relations,NonSpec,246,Agentives,1111-1111,
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,ʁrrabu,CCCVCV,u,ʁ,N,small boat,barque,N,Native,Motion & Transportation,,247,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,!barku,CVCCV,u,b,N,barque,barque,N,French,Motion & Transportation,,248,Underived,1111-1111,5-DIM
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,zddar,CCCVC,r,z,N,"low, lower","bas, inférieur",N,Native,Spatial Relations,,249,Underived,1100-0000,
Masculine,Masculine,Yes,Variable-Masc,Mixed,A,N,!barra,CVCCV,a,b,N,tail (piece of clothing),basque,N,Native,Clothing & Adornment,,250,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,Mixed,A,N,!banna,CVCCV,a,b,N,tail (piece of clothing),"basque, pan",N,Native,Clothing & Adornment,,251,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,External,A,N,frwal,CCCVC,l,f,N,tails (piece of clothing),basques,N,Native,Clothing & Adornment,,252,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,ħlajs,CCVCC,s,ħ,N,pack,bât,N,Native,Motion & Transportation,,255,Underived,1111-1111,5-DIM
Masculine,Neutral,,Neutral,External,A,Y,ħħram,CCCVC,m,ħ,Y,"bastard, scoundrel ...","bâtard, canaille...",Y,Arabic-Assimilated,Social Relations,NonSpec,256,Underived,1111-1111,
Masculine,Masculine,Yes,Variable-Masc,External,A,N,kuraj,CVCVC,j,k,N,stick,bâton,N,Native,Physical Acts & Materials,,257,Underived,1111-1111,5-DIM
Feminine,Feminine,Yes,Variable-Fem,External,A,N,!χʷbbat,CCCVC,t,χ,N,bat,batte,N,Native,Physical Acts & Materials,,258,Underived,1111-1111,1-AUG
Masculine,Masculine,,Fixed-Masc,External,A,N,suff,CVCC,f,s,N,"balloon, cavity formed by an intestine",baudruche,N,Native,Body Parts & Functions,,261,Instrumental Nouns,1111-0000,
Masculine,Neutral,,Neutral,External,A,Y,bʒʒaq,CCCVC,q,b,Y,"talkative, snob","bavard, snob",Y,Native,Social Relations,NonSpec,262,Agentives,1111-1111,
Masculine,Masculine,,Fixed-Masc,External,A,N,lddaj,CCCVC,j,l,N,slime,bave,N,Native,Physical World,,263,Underived,1111-0000,
Masculine,Masculine,,Fixed-Masc,External,A,N,mrmur,CCCVC,r,m,N,slime,bave,N,Native,Physical World,,264,Underived,1111-0000,
Masculine,Neutral,,Neutral,External,A,Y,falkaj,CVCCVC,j,f,Y,beautiful,beau,Y,Native,Emotion,NonSpec,265,Agentives,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,rbib,CCVC,b,r,Y,"son-in-law, daughter-in-law",beau-fils,Y,Native,Mankind,NonSpec,266,Underived,1111-1111,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,fulki,CVCCV,i,f,N,beauty,beauté,N,Native,Emotion,,267,Action Nouns,1100-0000,
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,ʁnzur,CCCVC,r,ʁ,N,beak,bec,N,Native,Body Parts & Functions,,268,Underived,1111-1111,5-DIM
Masculine,Neutral,,Neutral,External,A,Y,!frjad,CCCVC,d,f,Y,"harelip, cleft lip",bec de lièvre,N,Native,Body Parts & Functions,NonSpec,269,Underived,1111-1111,
Masculine,Masculine,Yes,Variable-Masc,External,A,N,qaddim,CVCCVC,m,q,N,spade,bêche,N,Native,Physical Acts & Materials,,271,Underived,1111-1111,5-DIM
Masculine,Neutral,,Neutral,External,A,Y,!grwaz,CCCVC,z,g,Y,person who lisps,personne qui zozote,Y,Native,Language & Music,NonSpec,272,Underived,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,tmtam,CCCVC,m,t,Y,stutterer,bègue,Y,Native,Language & Music,NonSpec,273,Underived,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,tftaf,CCCVC,f,t,Y,undecided,indécis,Y,Native,Mind & Thought,NonSpec,274,Underived,1111-1111,
Masculine,Masculine,,Fixed-Masc,External,A,Y,ħuli,CVCV,i,ħ,Y,ram,bélier,N,Arabic-Assimilated,Animals,Male,276,Underived,1111-0000,
Masculine,Neutral,,Neutral,Mixed,A,Y,mrdi,CCCV,i,m,Y,blessed,béni,Y,Arabic-Assimilated,Religion & Beliefs,NonSpec,277,Agentives,1111-1111,
Masculine,Neutral,,Neutral,Mixed,A,Y,mbʷarki,CCVCCV,i,m,Y,blessed,béni,Y,Arabic-Assimilated,Religion & Beliefs,NonSpec,278,Agentives,1111-1111,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,nuhnnu,CVCCCV,u,n,N,rocking,bercement,N,Native,Motion & Transportation,,279,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,duhdu,CVCCV,u,d,N,"rocking, quiet","bercement, calme",N,Native,Motion & Transportation,,280,Action Nouns,1100-0000,
Masculine,Neutral,,Neutral,Mixed,A,Y,mksa,CCCV,a,m,Y,shepherd,berger,Y,Native,Animals,NonSpec,281,Agentives,1111-1111,
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,bidun,CVCVC,n,b,N,can,bidon,N,French,Food & Drink,,282,Underived,1111-1111,5-DIM
Masculine,Masculine,,Fixed-Masc,Mixed,A,N,bzg,CCC,g,b,N,jewel,bijou,N,Native,Clothing & Adornment,,283,Underived,1111-0000,
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,sgdl,CCCC,l,s,N,chopping block,billot,N,Native,Food & Drink,,285,Underived,1111-1111,5-DIM
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,znbu,CCCV,u,z,N,early wheat,blé précoce,N,Native,Agriculture & Vegetation,,289,Underived,1100-0000,
Masculine,Neutral,,Neutral,Internal,A,Y,magus,CVCVC,s,m,Y,injured,blessé,Y,Native,Body Parts & Functions,NonSpec,290,Agentives,1111-1111,
Masculine,Masculine,,Fixed-Masc,External,A,N,mraz,CCVC,z,m,N,head injury,blessure à la tête,N,Native,Body Parts & Functions,,295,Action Nouns,1111-0000,
Masculine,Neutral,,Neutral,External,A,Y,ʃhbun,CCCVC,n,ʃ,Y,blond,blond,Y,Arabic-Assimilated,Sense Perception,NonSpec,296,Agentives,1111-1111,
Masculine,Masculine,,Fixed-Masc,Mixed,A,N,zgr,CCC,r,z,N,beef,boeuf,N,Native,Food & Drink,,297,Underived,1111-0000,
Feminine,Feminine,Yes,Variable-Fem,External,A,N,funas,CVCVC,s,f,N,beef,boeuf,N,Native,Food & Drink,,298,Underived,1111-1111,1-AUG
Masculine,Masculine,,Fixed-Masc,Mixed,A,N,ssrʁu,CCCCV,u,s,N,firewood,bois à brûler,N,Native,Dwellings & Furniture,,299,Action Nouns,1111-0000,
Masculine,Neutral,,Neutral,External,A,Y,!bidar,CVCVC,r,b,Y,lame,boîteux,Y,Native,Body Parts & Functions,NonSpec,301,Agentives,1111-1111,
Masculine,Neutral,,Neutral,Internal,A,Y,mknanu,CCCVCV,u,m,Y,hunchback,bossu,Y,Native,Body Parts & Functions,NonSpec,305,Agentives,1111-1111,
Masculine,Neutral,,Neutral,Mixed,A,Y,nkkur,CCCVC,r,n,Y,goat,bouc,N,Native,Animals,NonSpec,306,Underived,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,bukir,CVCVC,r,b,Y,goat,"bouc, caprin",N,Native,Animals,NonSpec,309,Underived,1111-1111,
